%
% index = 90, name = bbob_f001_i02_d02__bbob_f015_i04_d02
% instance = 1, reference value = 9.369725750855230e-01
% function evaluation | indicator value | target hit
1	8.399040259926237e+01	8.511380382023764e+01
22	8.267268157043750e+01	8.317637711026708e+01
28	8.080969973602477e+01	8.128305161640991e+01
33	7.810054292834980e+01	7.943282347242814e+01
38	7.574254709982719e+01	7.585775750291836e+01
48	7.286183496747127e+01	7.413102413009177e+01
53	7.033085261973801e+01	7.079457843841381e+01
63	6.748657526991690e+01	6.760829753919819e+01
68	6.532995468934385e+01	6.606934480075961e+01
73	6.262303867714014e+01	6.309573444801933e+01
78	6.036997587139800e+01	6.165950018614822e+01
83	5.945796553008113e+01	6.025595860743578e+01
88	5.794745012184159e+01	5.888436553555890e+01
93	5.600186343998613e+01	5.623413251903491e+01
103	5.379838442891405e+01	5.495408738576246e+01
108	5.152494364354736e+01	5.248074602497726e+01
113	5.128556953503473e+01	5.128613839913648e+01
463	5.001526211649647e+01	5.011872336272722e+01
465	4.853630336820910e+01	4.897788193684461e+01
694	4.678636369521826e+01	4.786300923226383e+01
704	4.663876092122928e+01	4.677351412871981e+01
719	4.435236140938051e+01	4.466835921509630e+01
724	4.256818911435891e+01	4.265795188015925e+01
744	4.072393051612886e+01	4.073802778041128e+01
749	3.889287349536725e+01	3.890451449942807e+01
754	3.710499666478947e+01	3.715352290971726e+01
2391	3.622222198752763e+01	3.630780547701014e+01
2396	3.475504028701784e+01	3.548133892335755e+01
2401	3.424951943705875e+01	3.467368504525317e+01
2416	3.252438904849058e+01	3.311311214825911e+01
2421	3.062534202392917e+01	3.090295432513591e+01
2426	2.921321776617765e+01	2.951209226666386e+01
2446	2.861907034477433e+01	2.884031503126606e+01
2451	2.751644769126196e+01	2.754228703338166e+01
2456	2.651809271384774e+01	2.691534803926915e+01
2466	2.609919596486956e+01	2.630267991895381e+01
2471	2.501333803343863e+01	2.511886431509580e+01
2476	2.352108381257500e+01	2.398832919019490e+01
2481	2.216708760342697e+01	2.238721138568340e+01
2491	2.184094486328836e+01	2.187761623949553e+01
3143	2.125248381116064e+01	2.137962089502232e+01
3182	2.086708474188794e+01	2.089296130854040e+01
3203	2.026755579220943e+01	2.041737944669530e+01
3204	1.964781818830554e+01	1.995262314968880e+01
3209	1.900195691468036e+01	1.905460717963247e+01
4108	1.857078074821667e+01	1.862087136662868e+01
4130	1.784116593717821e+01	1.819700858609983e+01
4452	1.722696944662858e+01	1.737800828749375e+01
4457	1.639247371935465e+01	1.659586907437561e+01
4462	1.547585037570899e+01	1.548816618912481e+01
4467	1.458015212009001e+01	1.479108388168207e+01
4477	1.435267060474787e+01	1.445439770745927e+01
4482	1.401648590389270e+01	1.412537544622754e+01
4487	1.350967409473021e+01	1.380384264602885e+01
4492	1.293147593776438e+01	1.318256738556407e+01
4497	1.258120843123203e+01	1.258925411794167e+01
5139	1.226320232770441e+01	1.230268770812382e+01
8727	1.179808210068923e+01	1.202264434617413e+01
8732	1.127978590019255e+01	1.148153621496883e+01
9208	1.121086130813290e+01	1.122018454301964e+01
9325	1.087437299448968e+01	1.096478196143185e+01
9358	1.063121142299365e+01	1.071519305237607e+01
9391	1.043210341476687e+01	1.047128548050900e+01
9794	9.940807663012457e+00	1.000000000000000e+01
9809	8.944079689453261e+00	9.120108393559097e+00
9819	8.877885040470172e+00	8.912509381337454e+00
17181	8.632814365123673e+00	8.709635899560805e+00
17186	8.306861122764522e+00	8.317637711026711e+00
17191	7.481478061874916e+00	7.585775750291837e+00
17196	6.980395042334155e+00	7.079457843841379e+00
17201	6.533328974877131e+00	6.606934480075959e+00
17206	6.433760144983274e+00	6.456542290346556e+00
17820	6.272490598254729e+00	6.309573444801933e+00
17878	6.006538068760917e+00	6.025595860743578e+00
17905	5.810324760089880e+00	5.888436553555890e+00
21586	5.314133570175443e+00	5.370317963702527e+00
21591	4.841778646592863e+00	4.897788193684462e+00
21596	4.388873286801146e+00	4.466835921509632e+00
21601	3.691352842009354e+00	3.715352290971725e+00
21606	3.373620520279523e+00	3.388441561392026e+00
21611	3.292905113595521e+00	3.311311214825911e+00
21626	3.208299777820008e+00	3.235936569296283e+00
22163	3.160997976524228e+00	3.162277660168380e+00
22216	3.036342480280308e+00	3.090295432513591e+00
22248	2.869187629971822e+00	2.884031503126606e+00
22286	2.538480913399523e+00	2.570395782768863e+00
22598	2.370736554660023e+00	2.398832919019490e+00
22608	2.343315583898023e+00	2.344228815319922e+00
22628	2.230117973024523e+00	2.238721138568339e+00
22643	2.157937421760023e+00	2.187761623949553e+00
23154	2.137820195569523e+00	2.137962089502232e+00
23199	2.080652592401023e+00	2.089296130854040e+00
23224	2.005927180706023e+00	2.041737944669529e+00
29822	1.620340341772523e+00	1.621810097358930e+00
29827	1.398279135416523e+00	1.412537544622754e+00
30532	1.373019441770042e+00	1.380384264602885e+00
30574	1.345959288514230e+00	1.348962882591654e+00
30577	1.289279144302541e+00	1.318256738556407e+00
30578	1.280265694966023e+00	1.288249551693134e+00
30636	1.233216075684608e+00	1.258925411794167e+00
30637	1.189757230523023e+00	1.202264434617413e+00
32011	1.093767638449023e+00	1.096478196143185e+00
32796	1.070785855332023e+00	1.071519305237606e+00
32870	1.028235827542023e+00	1.047128548050900e+00
32900	9.864521834325229e-01	1.000000000000000e+00
32960	9.664731950360229e-01	9.772372209558107e-01
34388	9.350821207950242e-01	9.549925860214360e-01
34393	8.583286033282762e-01	8.709635899560807e-01
34398	7.924328428807057e-01	7.943282347242815e-01
41388	7.439922536944933e-01	7.585775750291838e-01
41393	7.411831844253470e-01	7.413102413009175e-01
47286	7.239668394765242e-01	7.244359600749900e-01
74089	6.977318263385198e-01	7.079457843841379e-01
74094	3.947171358888087e-01	3.981071705534972e-01
74099	2.224917930203879e-01	2.238721138568339e-01
74104	1.973744360396315e-01	1.995262314968880e-01
74109	1.541329445398223e-01	1.548816618912481e-01
74114	1.425483667550578e-01	1.445439770745928e-01
74317	1.374780836593282e-01	1.380384264602885e-01
74598	1.347866415979806e-01	1.348962882591654e-01
74661	1.285344236923776e-01	1.288249551693134e-01
74686	1.236497800904347e-01	1.258925411794167e-01
74711	1.184659639339422e-01	1.202264434617413e-01
74756	1.113084310536359e-01	1.122018454301964e-01
75425	7.987917339407680e-02	8.128305161640990e-02
75431	7.635839093880414e-02	7.762471166286916e-02
75436	7.495584379216336e-02	7.585775750291836e-02
75543	7.329420311086776e-02	7.413102413009177e-02
