%
% index = 3660, name = bbob_f006_i02_d20__bbob_f017_i04_d20
% instance = 1, reference value = 9.804677847156180e-01
% function evaluation | indicator value | target hit
1	1.099480599152618e+00	1.122018454301963e+00
58	1.096288612992618e+00	1.096478196143185e+00
142	1.031906363730618e+00	1.047128548050900e+00
184	9.954475077316181e-01	1.000000000000000e+00
225	9.758505198862245e-01	9.772372209558107e-01
348	9.400434350733827e-01	9.549925860214360e-01
430	9.256600371057320e-01	9.332543007969910e-01
553	9.092653046146300e-01	9.120108393559098e-01
840	8.879566310745032e-01	8.912509381337456e-01
1086	8.703410448062218e-01	8.709635899560807e-01
1416	8.448562937800217e-01	8.511380382023764e-01
1582	8.306921738513020e-01	8.317637711026710e-01
2238	8.127287703617165e-01	8.128305161640993e-01
3427	7.936492587985043e-01	7.943282347242815e-01
4288	7.751396849976503e-01	7.762471166286917e-01
5067	7.581710788540109e-01	7.585775750291838e-01
6504	7.379332366472010e-01	7.413102413009175e-01
9417	7.244087658426293e-01	7.244359600749900e-01
14889	6.645546097072181e-01	6.760829753919817e-01
30964	6.604039800035622e-01	6.606934480075960e-01
33399	6.399636241550900e-01	6.456542290346555e-01
34881	6.308107469381545e-01	6.309573444801932e-01
423178	6.161034276873512e-01	6.165950018614822e-01
442964	5.951528953247157e-01	6.025595860743578e-01
455951	5.757846196530108e-01	5.888436553555889e-01
465115	5.641477453170938e-01	5.754399373371569e-01
471447	5.487249671537473e-01	5.495408738576245e-01
493768	5.361915984862732e-01	5.370317963702527e-01
528193	5.221133127085803e-01	5.248074602497725e-01
751013	5.124300941153465e-01	5.128613839913648e-01
2000000	5.085117374318087e-01	5.128613839913648e-01
%
% index = 3661, name = bbob_f006_i03_d20__bbob_f017_i05_d20
% instance = 2, reference value = 9.371888916119610e-01
% function evaluation | indicator value | target hit
1	1.294311007213298e+00	1.318256738556407e+00
54	1.285721326035208e+00	1.288249551693134e+00
57	1.230420620592548e+00	1.258925411794167e+00
58	1.176877565111027e+00	1.202264434617413e+00
59	1.090811964653379e+00	1.096478196143185e+00
60	9.870605025312637e-01	1.000000000000000e+00
307	9.595887361469609e-01	9.772372209558107e-01
471	9.143785640866497e-01	9.332543007969910e-01
512	8.551188849957085e-01	8.709635899560807e-01
553	7.935202037220828e-01	7.943282347242815e-01
758	7.485649432449641e-01	7.585775750291838e-01
881	7.337166610205219e-01	7.413102413009175e-01
1004	7.212493317504046e-01	7.244359600749900e-01
1045	6.812141954704096e-01	6.918309709189365e-01
1086	6.699710796463039e-01	6.760829753919817e-01
1127	6.564480876078627e-01	6.606934480075960e-01
1209	6.139354249969335e-01	6.165950018614822e-01
1291	6.014960590519189e-01	6.025595860743578e-01
1373	5.697021559117521e-01	5.754399373371569e-01
1455	5.599370560677079e-01	5.623413251903491e-01
1783	5.459617290511201e-01	5.495408738576245e-01
2111	5.366249198645634e-01	5.370317963702527e-01
3300	5.219061040812198e-01	5.248074602497725e-01
3423	5.112105728883609e-01	5.128613839913648e-01
3505	4.957916781571781e-01	5.011872336272722e-01
3669	4.882486528158019e-01	4.897788193684462e-01
3833	4.770890302666057e-01	4.786300923226383e-01
4448	4.663968490661390e-01	4.677351412871982e-01
667181	4.552896373638740e-01	4.570881896148750e-01
676402	4.431391734944148e-01	4.466835921509631e-01
687266	4.326680839483069e-01	4.365158322401660e-01
712811	4.265167590382747e-01	4.265795188015927e-01
2000000	4.192616236369213e-01	4.265795188015927e-01
%
% index = 3662, name = bbob_f006_i07_d20__bbob_f017_i08_d20
% instance = 3, reference value = 9.865407130459010e-01
% function evaluation | indicator value | target hit
1	2.211278497672107e+00	2.238721138568339e+00
57	2.172418603528527e+00	2.187761623949553e+00
58	2.136847058084662e+00	2.137962089502232e+00
59	2.075790830355745e+00	2.089296130854040e+00
60	1.987162765291433e+00	1.995262314968880e+00
101	1.745828741972157e+00	1.778279410038923e+00
142	1.523465986256215e+00	1.548816618912481e+00
183	1.381456028630169e+00	1.412537544622754e+00
265	1.195325277387137e+00	1.202264434617413e+00
388	1.141817191161540e+00	1.148153621496883e+00
429	1.078730612332492e+00	1.096478196143185e+00
6948	1.066443225812901e+00	1.071519305237606e+00
7727	1.047023510071901e+00	1.047128548050900e+00
16753	1.021573257858901e+00	1.023292992280754e+00
30892	9.987599284579010e-01	1.000000000000000e+00
31548	9.766557184969739e-01	9.772372209558107e-01
32122	9.544710798280260e-01	9.549925860214360e-01
32532	9.290115263996190e-01	9.332543007969910e-01
32901	9.108206239504064e-01	9.120108393559098e-01
33434	8.904320581277297e-01	8.912509381337456e-01
34131	8.708322382285407e-01	8.709635899560807e-01
35689	8.511272242150861e-01	8.511380382023764e-01
40984	8.316931039765727e-01	8.317637711026710e-01
1476759	8.084782439999274e-01	8.128305161640993e-01
1491511	7.923673647193730e-01	7.943282347242815e-01
2000000	7.823212113725214e-01	7.943282347242815e-01
%
% index = 3663, name = bbob_f006_i09_d20__bbob_f017_i10_d20
% instance = 4, reference value = 9.922956346471130e-01
% function evaluation | indicator value | target hit
1	2.029747221274113e+00	2.041737944669529e+00
55	1.992328079876613e+00	1.995262314968880e+00
57	1.911125382950113e+00	1.949844599758045e+00
58	1.894632247842613e+00	1.905460717963247e+00
59982	1.857589631195113e+00	1.862087136662868e+00
68841	1.818298213856113e+00	1.819700858609983e+00
141657	1.777555529858613e+00	1.778279410038923e+00
142447	1.732984338134113e+00	1.737800828749375e+00
145880	1.697456910305613e+00	1.698243652461744e+00
213883	1.659564875404613e+00	1.659586907437561e+00
721946	1.621792805808613e+00	1.621810097358930e+00
