%
% index = 3855, name = bbob_f013_i02_d20__bbob_f017_i04_d20
% instance = 1, reference value = 8.639674501605930e-01
% function evaluation | indicator value | target hit
1	3.959380647384592e+00	3.981071705534972e+00
57	3.820657698745593e+00	3.890451449942806e+00
58	3.657097220996093e+00	3.715352290971725e+00
59	3.300686384697093e+00	3.311311214825911e+00
60	2.810977461279093e+00	2.818382931264454e+00
183	2.156557337650593e+00	2.187761623949553e+00
306	1.998128246711093e+00	2.041737944669529e+00
347	1.744057715539593e+00	1.778279410038923e+00
470	1.731332845983093e+00	1.737800828749375e+00
552	1.559169802394593e+00	1.584893192461114e+00
593	1.495934242643593e+00	1.513561248436208e+00
634	1.413525389370093e+00	1.445439770745927e+00
675	1.408132612210093e+00	1.412537544622754e+00
880	1.288767394496093e+00	1.318256738556407e+00
921	1.237341460056593e+00	1.258925411794167e+00
1208	1.192371153872593e+00	1.202264434617413e+00
1331	1.126046209071593e+00	1.148153621496883e+00
1372	8.371600915108385e-01	8.511380382023764e-01
1536	8.232153309984775e-01	8.317637711026710e-01
1618	6.762087968243419e-01	6.918309709189365e-01
1741	6.736544693566257e-01	6.760829753919817e-01
1946	6.549458637360944e-01	6.606934480075960e-01
1987	6.359291270799671e-01	6.456542290346555e-01
2151	6.307585062154724e-01	6.309573444801932e-01
2315	5.887472347512621e-01	5.888436553555889e-01
143531	5.746688181837869e-01	5.754399373371569e-01
148776	5.598583917000577e-01	5.623413251903491e-01
151968	5.275326260513165e-01	5.370317963702527e-01
154792	4.821868134839172e-01	4.897788193684462e-01
158712	4.455116505330448e-01	4.466835921509631e-01
165683	4.219637773949516e-01	4.265795188015927e-01
176142	4.078277849833348e-01	4.168693834703354e-01
186763	3.968687442992244e-01	3.981071705534972e-01
200099	3.890385531576409e-01	3.890451449942806e-01
409922	3.798250911769213e-01	3.801893963205612e-01
942901	3.715266169159898e-01	3.715352290971726e-01
1337618	3.314032543024703e-01	3.388441561392025e-01
1338028	3.280695639953222e-01	3.311311214825911e-01
2000000	3.240570721458079e-01	3.311311214825911e-01
%
% index = 3856, name = bbob_f013_i03_d20__bbob_f017_i05_d20
% instance = 2, reference value = 8.395104018842030e-01
% function evaluation | indicator value | target hit
1	1.080729836519052e+00	1.096478196143185e+00
57	1.066159844854867e+00	1.071519305237606e+00
59	1.040992546489808e+00	1.047128548050900e+00
184	9.875483181541667e-01	1.000000000000000e+00
226	9.746498948553369e-01	9.772372209558107e-01
349	9.534424777444654e-01	9.549925860214360e-01
431	9.302130677341847e-01	9.332543007969910e-01
513	8.910460553102031e-01	8.912509381337456e-01
554	8.610952877482030e-01	8.709635899560807e-01
595	8.394775790898575e-01	8.511380382023764e-01
800	7.978052419939503e-01	8.128305161640993e-01
841	7.939901372371607e-01	7.943282347242815e-01
1005	7.760696539928433e-01	7.762471166286917e-01
1169	7.523568454729984e-01	7.585775750291838e-01
1251	7.384706468638959e-01	7.413102413009175e-01
1497	7.210652716901909e-01	7.244359600749900e-01
1620	6.916576944218042e-01	6.918309709189365e-01
1661	6.719846012369927e-01	6.760829753919817e-01
1784	6.436558609756575e-01	6.456542290346555e-01
1948	6.279104577271404e-01	6.309573444801932e-01
1989	5.904013083322630e-01	6.025595860743578e-01
2030	5.872483230372095e-01	5.888436553555889e-01
2153	5.746407989036889e-01	5.754399373371569e-01
2317	5.621101611758105e-01	5.623413251903491e-01
2727	5.467054387255595e-01	5.495408738576245e-01
2850	5.359238907579205e-01	5.370317963702527e-01
3588	5.228266192095241e-01	5.248074602497725e-01
4121	5.078944313082437e-01	5.128613839913648e-01
48156	4.990275636497402e-01	5.011872336272722e-01
54302	4.885579695278711e-01	4.897788193684462e-01
56720	4.734066071405703e-01	4.786300923226383e-01
61149	4.587715809096043e-01	4.677351412871982e-01
65271	4.455054063217235e-01	4.466835921509631e-01
70799	4.313184601839776e-01	4.365158322401660e-01
80616	4.141229677722074e-01	4.168693834703354e-01
91319	4.029547070793952e-01	4.073802778041127e-01
109321	3.950209419477243e-01	3.981071705534972e-01
129537	3.885640287604483e-01	3.890451449942806e-01
195469	3.798864071113501e-01	3.801893963205612e-01
461463	3.711525786051509e-01	3.715352290971726e-01
874093	3.597451930874506e-01	3.630780547701014e-01
874339	3.435274176706079e-01	3.467368504525316e-01
874421	3.356970129772059e-01	3.388441561392025e-01
874462	3.305539528659193e-01	3.311311214825911e-01
874503	3.048218941513625e-01	3.090295432513591e-01
874585	3.001805260417731e-01	3.019951720402016e-01
874708	2.916566290555588e-01	2.951209226666385e-01
874790	2.850761742642177e-01	2.884031503126606e-01
874831	2.800237160138590e-01	2.818382931264454e-01
874995	2.700723457144785e-01	2.754228703338166e-01
875036	2.689435018011743e-01	2.691534803926916e-01
875241	2.624151558263843e-01	2.630267991895382e-01
875405	2.564220307759797e-01	2.570395782768864e-01
875569	2.505461980254230e-01	2.511886431509580e-01
1073851	2.454419405151497e-01	2.454708915685030e-01
2000000	2.421427985885906e-01	2.454708915685030e-01
%
% index = 3857, name = bbob_f013_i07_d20__bbob_f017_i08_d20
% instance = 3, reference value = 8.381387723369440e-01
% function evaluation | indicator value | target hit
1	8.199158149446980e-01	8.317637711026710e-01
140	8.081213349421094e-01	8.128305161640993e-01
182	7.897068079386874e-01	7.943282347242815e-01
347	7.735299204036427e-01	7.762471166286917e-01
552	7.580944565072322e-01	7.585775750291838e-01
716	7.304367410518363e-01	7.413102413009175e-01
757	7.167285281545704e-01	7.244359600749900e-01
839	7.031567852963998e-01	7.079457843841379e-01
921	6.896408723217046e-01	6.918309709189365e-01
